,
opay_payment_checkout_invalid_payment,"Invalid payment method: %s"
opay_payment_checkout_invalid_order,"Invalid order"
opay_payment_text_credit,"Credit"
opay_payment_text_credit_3,"Credit(3 Installments)"
opay_payment_text_credit_6,"Credit(6 Installments)"
opay_payment_text_credit_12,"Credit(12 Installments)"
opay_payment_text_credit_18,"Credit(18 Installments)"
opay_payment_text_credit_24,"Credit(24 Installments)"
opay_payment_text_webatm,"WEB-ATM"
opay_payment_text_atm,"ATM"
opay_payment_text_cvs,"CVS"
opay_payment_text_barcode,"BARCODE"
opay_payment_text_tenpay,"Tenpay"
opay_payment_text_topupused,"TopUpUsed"
opay_payment_redirect_text_item_name,"A Package Of Online Goods"
opay_payment_order_comment_payment_method,"Payment Methods: %s"
opay_payment_order_comment_payment_result,"Payment Result : (%s)%s"
opay_payment_order_comment_atm,"Result : (%s)%s, Bank : %s, Virtual Account : %s, Deadline : %s"
opay_payment_order_comment_cvs,"Result : (%s)%s, Trade Code : %s, Deadline : %s"
opay_payment_order_comment_barcode,"Result : (%s)%s, Deadline : %s, BARCODE 1 : %s, BARCODE 2 : %s, BARCODE 3 : %s"
opay_payment_order_comment_payment_failure,"Paid Failed, Error : %s"
